state,party,year,sd
AK,D,1995,0.5511723267940158
AK,D,1996,0.5511723267940158
AK,D,1997,0.4787815189177031
AK,D,1998,0.4787815189177031
AK,D,1999,0.40778986185113947
AK,D,2e3,0.40778986185113947
AK,D,2001,0.4412330914897941
AK,D,2002,0.4412330914897941
AK,D,2003,0.44038214756894484
AK,D,2004,0.44038214756894484
AK,D,2005,0.44499772399302706
AK,D,2006,0.44499772399302706
AK,D,2007,0.393314123824711
AK,D,2008,0.393314123824711
AK,D,2011,0.4276732202667515
AK,D,2012,0.4276732202667515
AK,D,2013,0.5195411807176968
AK,D,2014,0.49878262789526856
AK,D,2015,0.45324493443196395
AK,D,2016,0.45324493443196395
AK,R,1995,0.06985148128156937
AK,R,1996,0.06985148128156937
AK,R,1997,0.080777121348395
AK,R,1998,0.080777121348395
AK,R,1999,0.10473271474788354
AK,R,2e3,0.10473271474788354
AK,R,2001,0.1129800047861633
AK,R,2002,0.1129800047861633
AK,R,2003,0.09917853484196576
AK,R,2004,0.09917853484196576
AK,R,2005,0.12225982420805542
AK,R,2006,0.12225982420805542
AK,R,2007,0.1325543298512683
AK,R,2008,0.13355135501700263
AK,R,2011,0.14211199400676816
AK,R,2012,0.14211199400676816
AK,R,2013,0.18363149134988968
AK,R,2014,0.18363149134988968
AK,R,2015,0.1813723486470717
AK,R,2016,0.1813723486470717
AL,D,1996,0.33443733563999595
AL,D,1997,0.33443733563999595
AL,D,1998,0.3341956509685517
AL,D,1999,0.32759046425932764
AL,D,2e3,0.33158351826088656
AL,D,2001,0.3304734695534196
AL,D,2002,0.3304734695534196
AL,D,2003,0.3405542649465308
AL,D,2004,0.34229033389448155
AL,D,2005,0.3726972197504702
AL,D,2006,0.37562347567774035
AL,D,2007,0.3009131085664163
AL,D,2008,0.29363240745936486
AL,D,2009,0.2958289110833631
AL,D,2010,0.29852329034798447
AL,D,2011,0.24786203889899977
AL,D,2012,0.24786203889899977
AL,D,2013,0.24882797342815047
AL,D,2014,0.24955478564517014
AL,D,2015,0.30858574935645094
AL,D,2016,0.30956960663915917
AL,R,1996,0.22679950233686486
